"","title","url","date","thanks","content"
"1","DCM STFC Sec III",47404,2022-11-14 05:00:00,"South Asia","Stakeholders impact: 

Improved access to finance for MSMEs: The MSME sector is extremely critical for the development of the country as it accounts for over 30% of the GDP and provides employment to more than 110 million people. The Covid-19 pandemic had severely impacted the economic environment for the MSME sector. In particular, commercial vehicle (CV) financing was amongst the worst-hit segments in the financial sector given mobility restrictions and low truck utilization rates. This segment is recovering from the pandemic, and demand for CVs, especially used CVs, remains buoyant given the growing economy, and the focus on infrastructure. The proposed investment would support access to CV finance to MSMEs, particularly micro enterprises, focusing on MSMEs in underserved areas like low-income states and rural regions of India. 

Market impact:

Beyond the project level outcomes, IFC anticipates the investment to promote greater inclusiveness of underserved segments like MSMEs in underserved regions like LIS by demonstrating the commercial viability of serving these segments at scale. The project also supports integration of the securitization market in India, by attracting long term capital from investors."
"2","Al Douh Cement",43750,2022-11-14 05:00:00,"Middle East","The Project will
scale and strengthen local cement production capacity in Iraq, while generating
jobs and strengthening economic linkages to other sectors. The Project is
expected to create 800 jobs during the construction phase and 89 full-time jobs
after commissioning."
"3","Fraport TAV Antalya Yatirim,Yapim ve Isletme A.S.",46443,2022-11-11 05:00:00,"Central Asia and Turkiye","IFC expects the Project to generate significant stakeholder impacts in terms of improved access and quality of the airport's landside and airside services, positive government revenue, and economy-wide impacts derived from the airport operations and the activities in the aviation and tourism sectors. The anticipated market creation effect is to preserve T<fc>rkiye's role in the global and regional tourism market."
"4","WCS COVID DTB II",46966,2022-11-10 05:00:00,"Africa","Increased access to finance: The Project intends to provide US$100mn of working capital facilities to DTB, which will then on-lend to its clients (including SMEs), over the next two years which will support the Banks' capacity to sustain operations and expedite post-crisis recovery.                                                   

Resilience: By sustaining the Banks' ability to provide loans to SMEs, the Project is intended to promote the resilience of financial service providers, as well as broader stability that comes about by providing for the going concern of market participants in Kenya.
"
"5","Standard Chartered Bank (Pakistan) Limited",46069,2022-11-09 05:00:00,"Middle East","The development impact of this Project is expected to be centered around supporting trade volumes and domestic production in Pakistan via an increase in the supply of trade finance. The Project will help close the trade finance gap in Pakistan and provide financial access to SMEs which currently have limited or no access to finance."
"6","Mediterrania IV",46722,2022-11-08 05:00:00,"Africa","The project-level outcomes are delivered through increasing access to equity and value creation for mid-cap companies in Morocco, Egypt, and Cote d'Ivoire, including supporting investees that are female-owned/led. Mediterrania is an experienced fund manager and will provide strategic and operational expertise to help investees streamline operations and scale up to become market leaders.&nbsp;Market creation is delivered by strengthening the competitiveness of the PE market in Morocco, Egypt and Cote d'Ivoire. The project supports an experienced fund manager to raise a follow-on fund in the mid-cap market segment while attracting institutional investors to the markets. Beyond the project, the success of the Fund will demonstrate the viability of operating in these markets and attract new local fund managers to enter these markets."
"7","SeABank Housing",47339,2022-11-08 05:00:00,"East Asia and the Pacific","Stakeholder effects: Increased access to housing finance. IFC anticipates that the Project will help address the lack of mortgage finance in Vietnam, particularly for the middle- and lower-income segments. 
Market Creation Competitiveness: IFC anticipates the investment will demonstrate the commercial viability of housing finance, including for the middle- and lower-income earners, and will result in greater market competitiveness through demonstration and replication."
"8","KhanBank Loan",46970,2022-11-02 04:00:00,"East Asia and the Pacific","Project Outcome
Increased access to finance for MSMEs: IFC's proposed investment in a senior loan will support Khan Bank through its largest branch network in growing its MSME loan portfolio, which represents 39% of the total loan portfolio, and contribute to addressing the financing gap for MSMEs in Mongolia. 

Increased access to green finance: The proceeds from IFC's investment in the green bond to be issued by the Bank will be used for financing eligible green assets. IFC's proposed investment in the green bond will support Khan Bank in growing its green portfolio. 

Market Creation
Sustainability: The green bond to be issued by Khan Bank is expected to contribute to improving sustainability of financial market in Mongolia, as IFC will support a systemically important bank in the country to issue the country's first green bond. The green bond will follow the Green Bond Principles, thus reinforcing harmonized green practices in the market via demonstration and market enabling channels. Moreover, the growth of the Bank's climate portfolio is likely to demonstrate the importance of climate finance as a separate asset class, sending a strong signal to the market and motivating other financial and non-financial institutions to replicate and contribute to the development of the green bond market."
"9","Ascott SLB",46552,2022-10-31 04:00:00,"East Asia and the Pacific","The most significant expected Project-level effect is environmental effect through reduction in GHG emissions and resource efficiency. Beyond the Project, IFC anticipates that the investment will promote greater sustainability in the real estate sector in emerging East Asia Pacific (EAP) countries. CLAS's strong commitment to greening its properties will provide a highly visible demonstration case given its prominent position in the marketplace. This could help further the sustainability agenda of the institutional real estate market in emerging EAP."
"10","GTFP Providus B.",46233,2022-10-28 04:00:00,"Africa","Project Impact:
Stakeholder Effects: Access to Trade Finance for SMEs in Nigeria  IFC's GTFP will provide trade finance support to Providus Bank and consequently to the Bank's customers thereby promoting trade for both corporates and SMEs in Nigeria. By joining the GTFP, the Bank will have access to a network of 400 confirming banks. This is expected to help boost the profile of the Bank and open doors for more future engagements with the confirming banks beyond trade. This Project will consequently allow the Bank to offer better terms to its clients which includes SMEs.<U+00A0>

Contribution to Market Creation:
Resilience: GTFP builds, protects, and deepens trade finance networks in lower income/IDA and fragile and conflict-affected countries, by continually enabling individual trade transactions to take place, which slowly builds resilience of trade networks, trade, and income to these economies. This support is especially critical in the maintenance of liquidity and essential goods when the market is facing shocks (most recently triggered by COVID-19). GTFP also ensures that the flow of essential goods and finance is maintained, preventing a potential crisis and further building resilience in the market.<U+00A0>"
